LinkedTermID,TermMasterID,TermID,Term,Term,TermType,ThesXrefType
10137842,10068807,10137844,betelkokers,betel tubes,British Equivalent,OBJECTTREFWOORD
10137842,10068807,10137844,betelkokers,betel tubes,British Equivalent,Voorstelling Object
10137842,10068807,10137842,betelkokers,betelkokers,Descriptor,Voorstelling Object
10137842,10068807,10137843,betelkokers,sirihkokers,Alternate Term,Voorstelling Object
10137843,10068807,10137843,sirihkokers,sirihkokers,Alternate Term,OBJECTTREFWOORD
10137843,10068807,10137842,sirihkokers,betelkokers,Descriptor,OBJECTTREFWOORD
10137843,10068807,10137844,sirihkokers,betel tubes,British Equivalent,OBJECTTREFWOORD
10137845,10068808,10137845,beteldozen,beteldozen,Descriptor,OBJECTTREFWOORD
10137845,10068808,10137846,beteldozen,betel boxes,British Equivalent,OBJECTTREFWOORD
10137845,10068808,10137845,beteldozen,beteldozen,Descriptor,Voorstelling Object
10137845,10068808,10137846,beteldozen,betel boxes,British Equivalent,Voorstelling Object
10137847,10068809,10137848,betelstellen,sirihstellen,Alternate Term,OBJECTTREFWOORD
10137847,10068809,10137847,betelstellen,betelstellen,Descriptor,OBJECTTREFWOORD
10137847,10068809,10137849,betelstellen,betel sets,British Equivalent,OBJECTTREFWOORD
10137847,10068809,10137848,betelstellen,sirihstellen,Alternate Term,Voorstelling Object
10137847,10068809,10137849,betelstellen,betel sets,British Equivalent,Voorstelling Object
10137847,10068809,10137847,betelstellen,betelstellen,Descriptor,Voorstelling Object
10137848,10068809,10137848,sirihstellen,sirihstellen,Alternate Term,OBJECTTREFWOORD
10137848,10068809,10137849,sirihstellen,betel sets,British Equivalent,OBJECTTREFWOORD
10137848,10068809,10137847,sirihstellen,betelstellen,Descriptor,OBJECTTREFWOORD
10137848,10068809,10137847,sirihstellen,betelstellen,Descriptor,Voorstelling Object
10137848,10068809,10137848,sirihstellen,sirihstellen,Alternate Term,Voorstelling Object
10137848,10068809,10137849,sirihstellen,betel sets,British Equivalent,Voorstelling Object
10137850,10068810,10137850,beteltassen,beteltassen,Descriptor,OBJECTTREFWOORD
10137850,10068810,10137853,beteltassen,betel bags,British Equivalent,OBJECTTREFWOORD
10137850,10068810,10137851,beteltassen,sirihtassen,Alternate Term,OBJECTTREFWOORD
10137850,10068810,10137852,beteltassen,betelzakken,Alternate Term,OBJECTTREFWOORD
10137850,10068810,10137852,beteltassen,betelzakken,Alternate Term,Voorstelling Object
10137850,10068810,10137850,beteltassen,beteltassen,Descriptor,Voorstelling Object
10137850,10068810,10137853,beteltassen,betel bags,British Equivalent,Voorstelling Object
10137850,10068810,10137851,beteltassen,sirihtassen,Alternate Term,Voorstelling Object
10137851,10068810,10137850,sirihtassen,beteltassen,Descriptor,OBJECTTREFWOORD
10137851,10068810,10137853,sirihtassen,betel bags,British Equivalent,OBJECTTREFWOORD
10137851,10068810,10137852,sirihtassen,betelzakken,Alternate Term,OBJECTTREFWOORD
10137851,10068810,10137851,sirihtassen,sirihtassen,Alternate Term,OBJECTTREFWOORD
10143559,10070708,10143561,beteldoosjes,betel containers,British Equivalent,OBJECTTREFWOORD
10143559,10070708,10143560,beteldoosjes,sirihdozen,Alternate Term,OBJECTTREFWOORD
10143559,10070708,10143559,beteldoosjes,beteldoosjes,Descriptor,OBJECTTREFWOORD
10143559,10070708,10143560,beteldoosjes,sirihdozen,Alternate Term,Voorstelling Object
10143559,10070708,10143559,beteldoosjes,beteldoosjes,Descriptor,Voorstelling Object
10143559,10070708,10143561,beteldoosjes,betel containers,British Equivalent,Voorstelling Object
10143560,10070708,10143559,sirihdozen,beteldoosjes,Descriptor,OBJECTTREFWOORD
10143560,10070708,10143561,sirihdozen,betel containers,British Equivalent,OBJECTTREFWOORD
10143560,10070708,10143560,sirihdozen,sirihdozen,Alternate Term,OBJECTTREFWOORD
10143560,10070708,10143560,sirihdozen,sirihdozen,Alternate Term,Voorstelling Object
10143560,10070708,10143559,sirihdozen,beteldoosjes,Descriptor,Voorstelling Object
10143560,10070708,10143561,sirihdozen,betel containers,British Equivalent,Voorstelling Object
10143572,10070712,10143574,betelbladhouders,betelvazen,Alternate Term,OBJECTTREFWOORD
10143572,10070712,10143575,betelbladhouders,betel leaf containers,British Equivalent,OBJECTTREFWOORD
10143572,10070712,10143573,betelbladhouders,sirihvazen,Alternate Term,OBJECTTREFWOORD
10143572,10070712,10143572,betelbladhouders,betelbladhouders,Descriptor,OBJECTTREFWOORD
10143572,10070712,10143573,betelbladhouders,sirihvazen,Alternate Term,Voorstelling Object
10143572,10070712,10143572,betelbladhouders,betelbladhouders,Descriptor,Voorstelling Object
10143572,10070712,10143575,betelbladhouders,betel leaf containers,British Equivalent,Voorstelling Object
10143572,10070712,10143574,betelbladhouders,betelvazen,Alternate Term,Voorstelling Object
10143573,10070712,10143575,sirihvazen,betel leaf containers,British Equivalent,OBJECTTREFWOORD
10143573,10070712,10143572,sirihvazen,betelbladhouders,Descriptor,OBJECTTREFWOORD
10143573,10070712,10143573,sirihvazen,sirihvazen,Alternate Term,OBJECTTREFWOORD
10143573,10070712,10143574,sirihvazen,betelvazen,Alternate Term,OBJECTTREFWOORD
10143573,10070712,10143574,sirihvazen,betelvazen,Alternate Term,Voorstelling Object
10143573,10070712,10143575,sirihvazen,betel leaf containers,British Equivalent,Voorstelling Object
10143573,10070712,10143573,sirihvazen,sirihvazen,Alternate Term,Voorstelling Object
10143573,10070712,10143572,sirihvazen,betelbladhouders,Descriptor,Voorstelling Object
10144448,10071019,10144448,betelscharen,betelscharen,Descriptor,OBJECTTREFWOORD
10144448,10071019,10144451,betelscharen,arekanootscharen,Alternate Term,OBJECTTREFWOORD
10144448,10071019,10144452,betelscharen,areca-nut cutters,British Equivalent,OBJECTTREFWOORD
10144448,10071019,10144449,betelscharen,betelnootscharen,Alternate Term,OBJECTTREFWOORD
10144448,10071019,10144450,betelscharen,pinangscharen,Alternate Term,OBJECTTREFWOORD
10144448,10071019,10144449,betelscharen,betelnootscharen,Alternate Term,Voorstelling Object
10144448,10071019,10144451,betelscharen,arekanootscharen,Alternate Term,Voorstelling Object
10144448,10071019,10144450,betelscharen,pinangscharen,Alternate Term,Voorstelling Object
10144448,10071019,10144448,betelscharen,betelscharen,Descriptor,Voorstelling Object
10144448,10071019,10144452,betelscharen,areca-nut cutters,British Equivalent,Voorstelling Object
10144450,10071019,10144449,pinangscharen,betelnootscharen,Alternate Term,OBJECTTREFWOORD
10144450,10071019,10144450,pinangscharen,pinangscharen,Alternate Term,OBJECTTREFWOORD
10144450,10071019,10144452,pinangscharen,areca-nut cutters,British Equivalent,OBJECTTREFWOORD
10144450,10071019,10144448,pinangscharen,betelscharen,Descriptor,OBJECTTREFWOORD
10144450,10071019,10144451,pinangscharen,arekanootscharen,Alternate Term,OBJECTTREFWOORD
10144453,10071020,10144454,betelstampers,sirihstampers,Alternate Term,OBJECTTREFWOORD
10144453,10071020,10144453,betelstampers,betelstampers,Descriptor,OBJECTTREFWOORD
10144453,10071020,10144455,betelstampers,areca pestles,British Equivalent,OBJECTTREFWOORD
10144453,10071020,10144453,betelstampers,betelstampers,Descriptor,Voorstelling Object
10144453,10071020,10144454,betelstampers,sirihstampers,Alternate Term,Voorstelling Object
10144453,10071020,10144455,betelstampers,areca pestles,British Equivalent,Voorstelling Object
10144454,10071020,10144455,sirihstampers,areca pestles,British Equivalent,OBJECTTREFWOORD
10144454,10071020,10144454,sirihstampers,sirihstampers,Alternate Term,OBJECTTREFWOORD
10144454,10071020,10144453,sirihstampers,betelstampers,Descriptor,OBJECTTREFWOORD
10144456,10071021,10144456,betelvijzels,betelvijzels,Descriptor,OBJECTTREFWOORD
10144456,10071021,10144458,betelvijzels,areca mortars,British Equivalent,OBJECTTREFWOORD
10144456,10071021,10144457,betelvijzels,sirihvijzels,Alternate Term,OBJECTTREFWOORD
10144456,10071021,10144457,betelvijzels,sirihvijzels,Alternate Term,Voorstelling Object
10144456,10071021,10144456,betelvijzels,betelvijzels,Descriptor,Voorstelling Object
10144456,10071021,10144458,betelvijzels,areca mortars,British Equivalent,Voorstelling Object
