LinkedTermID,TermMasterID,TermID,Term,Term,TermType,ThesXrefType
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD
10142487,10070336,10142487,martavanen,martavanen,Descriptor,Voorstelling Object
10142487,10070336,10142488,martavanen,martavans,British Equivalent,Voorstelling Object
