LinkedTermID,TermMasterID,TermID,Term,Term,TermType,ThesXrefType,ObjectNumber,Title,ObjectName,Description
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-486,EEN MARTAVAAN VOOR HET BEWAREN VAN VLOEIBARE STOFFEN.,martavaan,"Grote ronde pot van bruingroen aardewerk, versierd met een gele draak-figuur. De martavaan heeft een wijde halsopening. Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.), of hij wordt bij de toegang tot het huis geplaatst, gevuld met water, waarmee voor het naar binnen gaan de voeten kunnen worden gewassen."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-486,EEN MARTAVAAN VOOR HET BEWAREN VAN VLOEIBARE STOFFEN.,martavaan,"Grote ronde pot van bruingroen aardewerk, versierd met een gele draak-figuur. De martavaan heeft een wijde halsopening. Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.), of hij wordt bij de toegang tot het huis geplaatst, gevuld met water, waarmee voor het naar binnen gaan de voeten kunnen worden gewassen."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-487,EEN AARDEWERK WATERPOT.,waterpot / martavaan,"Kleine ronde pot van bruin aardewerk, versierd met gele bloemmotieven. Wordt gebruikt in het huishouden om water in te bewaren."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-487,EEN AARDEWERK WATERPOT.,waterpot / martavaan,"Kleine ronde pot van bruin aardewerk, versierd met gele bloemmotieven. Wordt gebruikt in het huishouden om water in te bewaren."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-516,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,waterpot / martavaan,"Grote ronde pot van bruingeglazuurd aardewerk met voorstellingen van leeuwen, olifanten en bloemen. Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.), of hij wordt bij de toegang van het huis geplaatst, gevuld met water, waar- mee voor het naar binnen gaan de voeten kunnen worden gewassen."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-516,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,waterpot / martavaan,"Grote ronde pot van bruingeglazuurd aardewerk met voorstellingen van leeuwen, olifanten en bloemen. Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.), of hij wordt bij de toegang van het huis geplaatst, gevuld met water, waar- mee voor het naar binnen gaan de voeten kunnen worden gewassen."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-517,EEN AARDEWERK POT OM VISSAUS EN PICKLES IN TE BEWAREN.,voorraadpot / martavaan,Grote pot van bruin aardewerk (watervat) met nauwe halsopening. Het bovenste gedeelte is versierd met ribbeltjes. Wordt in het huishouden gebruikt voor het bewaren van vissaus en pickles.
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-517,EEN AARDEWERK POT OM VISSAUS EN PICKLES IN TE BEWAREN.,voorraadpot / martavaan,Grote pot van bruin aardewerk (watervat) met nauwe halsopening. Het bovenste gedeelte is versierd met ribbeltjes. Wordt in het huishouden gebruikt voor het bewaren van vissaus en pickles.
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-519,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,voorraadpot / martavaan,"Kleine ronde pot van bruin gelazuurd aardewerk, met smalle hals- opening. Het bovenste gedeelte is met ribbeltjes versierd. Wordt gebruikt in het huishouden voor het bewaren of inmaken van voor- namelijk vloeibare stoffen (sauzen of water)."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-519,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,voorraadpot / martavaan,"Kleine ronde pot van bruin gelazuurd aardewerk, met smalle hals- opening. Het bovenste gedeelte is met ribbeltjes versierd. Wordt gebruikt in het huishouden voor het bewaren of inmaken van voor- namelijk vloeibare stoffen (sauzen of water)."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-520,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,voorraadpot / martavaan,"Kleine ronde pot van bruingeglazuurd aardewerk, met smalle hals- opening. Langs de bovenrand is een ribbeltjesversiering aangebracht. Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.)."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-520,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,voorraadpot / martavaan,"Kleine ronde pot van bruingeglazuurd aardewerk, met smalle hals- opening. Langs de bovenrand is een ribbeltjesversiering aangebracht. Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.)."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-527,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,voorraadpot / martavaan,"Kleine ronde pot van bruin geglazuurd aardewerk, met nauwe hals- opening. Het bovenste gedeelte is versierd met ribbeltjes.
Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.)."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-527,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,voorraadpot / martavaan,"Kleine ronde pot van bruin geglazuurd aardewerk, met nauwe hals- opening. Het bovenste gedeelte is versierd met ribbeltjes.
Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.)."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-4626-528,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,voorraadpot / martavaan,"Kleine ronde pot van bruingeglazuurd aardewerk, met nauwe hals- opening. Het bovenste gedeelte is versierd met ribbeltjes.
Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.)."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-4626-528,EEN AARDEWERK POT VOOR HET BEWAREN VAN VLOEISTOFFEN.,voorraadpot / martavaan,"Kleine ronde pot van bruingeglazuurd aardewerk, met nauwe hals- opening. Het bovenste gedeelte is versierd met ribbeltjes.
Wordt gebruikt in het huishouden voor het bewaren van voornamelijk vloeibare stoffen (water, sauzen, enz.)."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-5371-36,NULL,martavaan,"Martavaan om ""beras""in te bewaren."
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-5371-36,NULL,martavaan,"Martavaan om ""beras""in te bewaren."
10142487,10070336,10142487,martavanen,martavanen,Descriptor,OBJECTTREFWOORD,RV-B221-7,Martavaan,martavaan,NULL
10142487,10070336,10142488,martavanen,martavans,British Equivalent,OBJECTTREFWOORD,RV-B221-7,Martavaan,martavaan,NULL
10142487,10070336,10142487,martavanen,martavanen,Descriptor,Voorstelling Object,TM-ALB-0268-19,"OBJECTEN VAN AARDEWERK, PORSELEIN EN METAAL",Foto,NULL
10142487,10070336,10142488,martavanen,martavans,British Equivalent,Voorstelling Object,TM-ALB-0268-19,"OBJECTEN VAN AARDEWERK, PORSELEIN EN METAAL",Foto,NULL
